year,month,day,noaa_ar_no,longitude,latitude,carrington_longitude,corr_whole_spot_area,mcintosh,LL,number_of_spots,greenwich
2024,7,16,13738,68,-9,215,1010.0,Fkc,20.0,19.0,Beta-Gamma-Delta
2024,7,16,13743,17,-8,164,140.0,Dai,9.0,15.0,Beta
2024,7,16,13744,1,16,148,120.0,Cso,5.0,7.0,Beta
2024,7,16,13745,11,-18,158,20.0,Cso,6.0,3.0,Beta
2024,7,16,13747,7,-25,154,130.0,Hsx,2.0,2.0,Alpha
2024,7,16,13748,-14,14,133,10.0,Bxo,3.0,4.0,Beta
2024,7,16,13749,-35,-32,112,40.0,Cao,12.0,4.0,Beta
2024,7,16,13750,-38,-20,109,90.0,Cao,10.0,9.0,Beta
2024,7,16,13751,-54,-8,93,220.0,Dsi,10.0,10.0,Beta-Gamma
2024,7,16,13752,-53,22,94,30.0,Hsx,2.0,1.0,Alpha
2024,7,16,13753,22,12,169,50.0,Dao,3.0,7.0,Beta
2024,7,16,13754,-69,23,78,30.0,Cro,4.0,4.0,Beta
2024,7,16,13741,51,9,198,,None,,,Plage
2024,7,16,13742,25,-21,172,,None,,,Plage
2024,7,16,13746,79,23,226,,None,,,Plage
